,,cost,cost,cost,cost,time,time,time,time,bb_time,heuristic_time,nodes_explored,nodes_explored,nodes_explored,optimal,optimal,heuristic_calls,heuristic_improvements,heuristic_efficiency
,,mean,min,std,count,mean,min,max,std,mean,mean,mean,min,max,sum,count,mean,mean,mean
filename,combination,,,,,,,,,,,,,,,,,,
scp43.txt,breadth_first_basic,516.0,516.0,,1,0.31,0.31,0.31,,0.035,0.275,1.0,1,1,1,1,3.0,0.0,0.0
scp43.txt,breadth_first_intermediate,516.0,516.0,,1,51.1749,51.1749,51.1749,,0.035,51.1399,1.0,1,1,1,1,4.0,1.0,0.25
scp43.txt,breadth_first_none,516.0,516.0,,1,0.035,0.035,0.035,,0.035,0.0,1.0,1,1,1,1,0.0,0.0,0.0
scp43.txt,depth_first_advanced,inf,inf,,1,120.0,120.0,120.0,,120.0,0.0,0.0,0,0,0,1,0.0,0.0,0.0
scp43.txt,depth_first_basic,516.0,516.0,,1,0.366,0.366,0.366,,0.035,0.331,1.0,1,1,1,1,3.0,0.0,0.0
scp43.txt,depth_first_intermediate,516.0,516.0,,1,54.9804,54.9804,54.9804,,0.035,54.9454,1.0,1,1,1,1,4.0,1.0,0.25
scp43.txt,depth_first_none,516.0,516.0,,1,0.035,0.035,0.035,,0.035,0.0,1.0,1,1,1,1,0.0,0.0,0.0
scp43.txt,hybrid_df_bf_advanced,inf,inf,,1,120.0,120.0,120.0,,120.0,0.0,0.0,0,0,0,1,0.0,0.0,0.0
scp43.txt,hybrid_df_bf_basic,516.0,516.0,,1,0.576,0.576,0.576,,0.075,0.501,1.0,1,1,1,1,3.0,0.0,0.0
scp43.txt,hybrid_df_bf_intermediate,516.0,516.0,,1,49.0829,49.0829,49.0829,,0.035,49.0479,1.0,1,1,1,1,4.0,1.0,0.25
scp43.txt,hybrid_df_bf_none,516.0,516.0,,1,0.06,0.06,0.06,,0.06,0.0,1.0,1,1,1,1,0.0,0.0,0.0
scp43.txt,most_fractional_advanced,inf,inf,,1,120.0,120.0,120.0,,120.0,0.0,0.0,0,0,0,1,0.0,0.0,0.0
scp43.txt,most_fractional_basic,516.0,516.0,,1,0.318,0.318,0.318,,0.037,0.281,1.0,1,1,1,1,3.0,0.0,0.0
scp43.txt,most_fractional_intermediate,516.0,516.0,,1,51.5408,51.5408,51.5408,,0.035,51.5058,1.0,1,1,1,1,4.0,1.0,0.25
scp43.txt,most_fractional_none,516.0,516.0,,1,0.035,0.035,0.035,,0.035,0.0,1.0,1,1,1,1,0.0,0.0,0.0
scp44.txt,best_first_advanced,inf,inf,,1,120.0,120.0,120.0,,120.0,0.0,0.0,0,0,0,1,0.0,0.0,0.0
scp44.txt,best_first_basic,548.0,548.0,,1,120.0061,120.0061,120.0061,,119.6751,0.331,3150.0,3150,3150,0,1,15.0,0.0,0.0
scp44.txt,best_first_intermediate,504.0,504.0,,1,120.0336,120.0336,120.0336,,74.9962,45.0374,1982.0,1982,1982,0,1,13.0,2.0,0.1538
scp44.txt,best_first_none,inf,inf,,1,120.0203,120.0203,120.0203,,120.0203,0.0,3156.0,3156,3156,0,1,0.0,0.0,0.0
scp44.txt,breadth_first_advanced,inf,inf,,1,120.0,120.0,120.0,,120.0,0.0,0.0,0,0,0,1,0.0,0.0,0.0
scp44.txt,breadth_first_basic,548.0,548.0,,1,120.0185,120.0185,120.0185,,119.7415,0.277,3082.0,3082,3082,0,1,15.0,0.0,0.0
scp44.txt,breadth_first_intermediate,504.0,504.0,,1,120.0201,120.0201,120.0201,,73.1984,46.8217,1985.0,1985,1985,0,1,13.0,2.0,0.1538
scp44.txt,breadth_first_none,inf,inf,,1,120.0207,120.0207,120.0207,,120.0207,0.0,3224.0,3224,3224,0,1,0.0,0.0,0.0
scp44.txt,depth_first_advanced,inf,inf,,1,120.0,120.0,120.0,,120.0,0.0,0.0,0,0,0,1,0.0,0.0,0.0
scp44.txt,depth_first_basic,548.0,548.0,,1,120.0026,120.0026,120.0026,,119.7286,0.274,3155.0,3155,3155,0,1,15.0,0.0,0.0
scp44.txt,depth_first_intermediate,504.0,504.0,,1,120.0304,120.0304,120.0304,,72.8278,47.2026,1918.0,1918,1918,0,1,13.0,2.0,0.1538
scp44.txt,depth_first_none,inf,inf,,1,120.0348,120.0348,120.0348,,120.0348,0.0,3212.0,3212,3212,0,1,0.0,0.0,0.0
scp44.txt,hybrid_df_bf_advanced,inf,inf,,1,120.0,120.0,120.0,,120.0,0.0,0.0,0,0,0,1,0.0,0.0,0.0
scp44.txt,hybrid_df_bf_basic,548.0,548.0,,1,120.0069,120.0069,120.0069,,119.7339,0.273,3127.0,3127,3127,0,1,15.0,0.0,0.0
scp44.txt,hybrid_df_bf_intermediate,504.0,504.0,,1,120.0214,120.0214,120.0214,,76.1812,43.8402,1961.0,1961,1961,0,1,13.0,2.0,0.1538
scp44.txt,hybrid_df_bf_none,inf,inf,,1,120.0207,120.0207,120.0207,,120.0207,0.0,3223.0,3223,3223,0,1,0.0,0.0,0.0
scp44.txt,most_fractional_advanced,inf,inf,,1,120.0,120.0,120.0,,120.0,0.0,0.0,0,0,0,1,0.0,0.0,0.0
scp44.txt,most_fractional_basic,548.0,548.0,,1,120.0009,120.0009,120.0009,,119.7159,0.285,3108.0,3108,3108,0,1,15.0,0.0,0.0
scp44.txt,most_fractional_intermediate,504.0,504.0,,1,120.037,120.037,120.037,,74.4454,45.5917,1996.0,1996,1996,0,1,13.0,2.0,0.1538
scp44.txt,most_fractional_none,inf,inf,,1,120.035,120.035,120.035,,120.035,0.0,3201.0,3201,3201,0,1,0.0,0.0,0.0
scp45.txt,best_first_advanced,inf,inf,,1,120.0,120.0,120.0,,120.0,0.0,0.0,0,0,0,1,0.0,0.0,0.0
scp45.txt,best_first_basic,512.0,512.0,,1,0.352,0.352,0.352,,0.036,0.316,1.0,1,1,1,1,3.0,0.0,0.0
scp45.txt,best_first_intermediate,512.0,512.0,,1,44.2128,44.2128,44.2128,,0.036,44.1768,1.0,1,1,1,1,4.0,1.0,0.25
scp45.txt,best_first_none,512.0,512.0,,1,0.036,0.036,0.036,,0.036,0.0,1.0,1,1,1,1,0.0,0.0,0.0
scp45.txt,breadth_first_advanced,inf,inf,,1,120.0,120.0,120.0,,120.0,0.0,0.0,0,0,0,1,0.0,0.0,0.0
scp45.txt,breadth_first_basic,512.0,512.0,,1,0.308,0.308,0.308,,0.036,0.272,1.0,1,1,1,1,3.0,0.0,0.0
scp45.txt,breadth_first_intermediate,512.0,512.0,,1,41.674,41.674,41.674,,0.035,41.639,1.0,1,1,1,1,4.0,1.0,0.25
scp45.txt,breadth_first_none,512.0,512.0,,1,0.035,0.035,0.035,,0.035,0.0,1.0,1,1,1,1,0.0,0.0,0.0
