filename,search_strategy,heuristic_strategy,combination,run,cost,time,nodes_explored,optimal,heuristic_time,heuristic_calls,heuristic_improvements,bb_time,heuristic_efficiency
scp42.txt,best_first,basic,best_first_basic,3,512.0,0.28999972343444824,1,True,0.25499534606933594,3,0,0.035004377365112305,0.0
scp42.txt,best_first,intermediate,best_first_intermediate,1,512.0,32.857006311416626,1,True,32.82300662994385,4,1,0.03399968147277832,0.25
scp42.txt,best_first,intermediate,best_first_intermediate,2,512.0,33.22599387168884,1,True,33.19299268722534,4,1,0.03300118446350098,0.25
scp42.txt,best_first,intermediate,best_first_intermediate,3,512.0,33.03100609779358,1,True,32.99600577354431,4,1,0.03500032424926758,0.25
scp42.txt,best_first,advanced,best_first_advanced,1,inf,60.0,0,False,0.0,0,0,60.0,0.0
scp42.txt,best_first,advanced,best_first_advanced,2,inf,60.0,0,False,0.0,0,0,60.0,0.0
scp42.txt,best_first,advanced,best_first_advanced,3,inf,60.0,0,False,0.0,0,0,60.0,0.0
scp42.txt,hybrid_df_bf,none,hybrid_df_bf_none,1,512.0,0.03399944305419922,1,True,0.0,0,0,0.03399944305419922,0.0
scp42.txt,hybrid_df_bf,none,hybrid_df_bf_none,2,512.0,0.03300738334655762,1,True,0.0,0,0,0.03300738334655762,0.0
scp42.txt,hybrid_df_bf,none,hybrid_df_bf_none,3,512.0,0.06699967384338379,1,True,0.0,0,0,0.06699967384338379,0.0
scp42.txt,hybrid_df_bf,basic,hybrid_df_bf_basic,1,512.0,0.2949967384338379,1,True,0.2599954605102539,3,0,0.035001277923583984,0.0
scp42.txt,hybrid_df_bf,basic,hybrid_df_bf_basic,2,512.0,0.290999174118042,1,True,0.25699853897094727,3,0,0.03400063514709473,0.0
scp42.txt,hybrid_df_bf,basic,hybrid_df_bf_basic,3,512.0,0.2819991111755371,1,True,0.24799466133117676,3,0,0.03400444984436035,0.0
scp42.txt,hybrid_df_bf,intermediate,hybrid_df_bf_intermediate,1,512.0,33.27799892425537,1,True,33.24099612236023,4,1,0.0370028018951416,0.25
scp42.txt,hybrid_df_bf,intermediate,hybrid_df_bf_intermediate,2,512.0,33.514002561569214,1,True,33.4800021648407,4,1,0.034000396728515625,0.25
